Average Reservoir Pressure (psi),Cumulative Gas (CO2) Injection (SCF),Cumulative Gas (CO2) Production (SCF),Gas Injection Rate (SCF/day),Water Injection Rate (bbl/day),Cumulative Water Injection (bbl),Cumulative Water Production (bbl),Average Temperature (F),Gas-Oil Ratio SC (SCF/bbl),Water Cut (%),Cumulative Oil Production (bbl),Oil Recovery Factor (%),Cumulative CO2 Stored (SCF)
3501.520752,0,1906563.125,0,0,0,190246.1406,186,254.710556,0.23945497,1383852,2.410742283,0
3501.519043,0,1925313.875,0,0,0,194592.25,186,254.7220612,0.241570488,1397497,2.434512377,0
3501.506836,0,1944570,0,0,0,199289.2969,186,254.753952,0.246683404,1411840.625,2.459500074,0
3501.505127,0,1964210.75,0,0,0,203700.9219,186,254.7687683,0.249266654,1425127.5,2.482646227,0
3501.507813,0,1985925.75,0,0,0,208232.7969,186,254.7657318,0.249287412,1438774.875,2.506420851,0
3501.506348,0,2004755,0,0,0,212886.25,186,254.7715607,0.250605404,1452690.375,2.530662298,0
3501.486572,0,2028077.5,0,0,0,218205.0313,186,254.8155518,0.25743407,1468032.25,2.557388544,0
3501.484863,0,2050320.125,0,0,0,222883.5469,186,254.8329773,0.260395378,1481320.625,2.580537796,0
3501.46167,0,2066890.125,0,0,0,228889.9219,186,254.8827667,0.267972887,1497728.375,2.609120846,0
3501.458984,0,2082281.375,0,0,0,234695.8125,186,254.8985291,0.270819217,1513360.75,2.636353254,0
3501.522217,0,2107016,0,0,0,238594.8438,186,254.7392883,0.24894233,1525124.25,2.656845808,0
3501.521729,0,2128654.5,0,0,0,242142.4531,186,254.7077484,0.244728222,1536072.625,2.675918579,0
3501.438721,0,2151923.75,0,0,0,248703.8281,186,254.9120636,0.274188578,1553441.5,2.706176043,0
3501.435303,0,2173714.25,0,0,0,254632.8125,186,254.9596252,0.28127864,1568591.125,2.73256731,0
3501.443359,0,2193698.75,0,0,0,261002.8438,186,254.9514313,0.280995429,1584890.625,2.760962009,0
3501.442383,0,2211322.5,0,0,0,267020.0625,186,254.9597168,0.282856286,1600146.5,2.787538528,0
3501.467773,0,2228799,0,0,0,272354.0625,186,254.8976288,0.27523011,1614192.625,2.812007666,0
3501.466553,0,2245702.25,0,0,0,277061.0625,186,254.894104,0.275320739,1626582.125,2.833590746,0
3501.484863,0,2265381,0,0,0,281563,186,254.8323669,0.267401814,1638916,2.855077028,0
3501.483398,0,2283865.75,0,0,0,285907.7188,186,254.8253021,0.266882986,1650850.75,2.875867844,0
3501.459229,0,2303829.25,0,0,0,291193.0313,186,254.8908081,0.276393175,1664687.75,2.899972916,0
3501.456543,0,2318836.5,0,0,0,296227.2188,186,254.9092102,0.279421061,1677670.125,2.922588825,0
3501.448486,0,2334849.75,0,0,0,301745.125,186,254.928772,0.282652587,1691674,2.94698453,0
3501.446533,0,2350701.75,0,0,0,305923.1563,186,254.9369965,0.28422749,1702195.75,2.965313673,0
3501.47876,0,2366551.75,0,0,0,310113.4375,186,254.8314362,0.270476818,1713497.75,2.985002279,0
3501.477539,0,2381274.25,0,0,0,314226.3438,186,254.8149109,0.268592209,1724697.75,3.004513025,0
3501.476074,0,2400091.5,0,0,0,318329,186,254.8083344,0.268050849,1735900.5,3.024029017,0
